200   2
0.3484974   0.0595165   0.000000
0.3560383   0.0593559   0.000000
0.3636152   0.0591739   0.000000
0.371226   0.0589709   00.000000
0.3788688   0.0587472   0.000000
0.3865419   0.0585033   0.000000
0.3942433   0.0582394   0.000000
0.401971   0.0579561   00.000000
0.4097232   0.0576537   0.000000
0.4174978   0.0573325   0.000000
0.425293   0.0569931   00.000000
0.4331068   0.0566359   0.000000
0.4409373   0.0562612   0.000000
0.4487826   0.0558696   0.000000
0.4566405   0.0554614   0.000000
0.4645093   0.0550371   0.000000
0.472387   0.0545971   00.000000
0.4802715   0.0541419   0.000000
0.4881609   0.0536719   0.000000
0.4960533   0.0531876   0.000000
0.5039467   0.0526895   0.000000
0.511839   0.0521779   00.000000
0.5197285   0.0516534   0.000000
0.527613   0.0511164   00.000000
0.5354906   0.0505674   0.000000
0.5433594   0.0500067   0.000000
0.5512174   0.0494349   0.000000
0.5590626   0.0488524   0.000000
0.5668931   0.0482597   0.000000
0.574707   0.0476572   00.000000
0.5825022   0.0470453   0.000000
0.5902768   0.0464246   0.000000
0.598029   0.0457953   00.000000
0.6057567   0.045158   00.000000
0.613458   0.0445131   00.000000
0.6211311   0.043861   00.000000
0.628774   0.0432022   00.000000
0.6363848   0.0425371   0.000000
0.6439616   0.041866   00.000000
0.6515025   0.0411895   0.000000
0.6590058   0.0405078   0.000000
0.6664693   0.0398216   0.000000
0.6738914   0.039131   00.000000
0.6812701   0.0384366   0.000000
0.6886036   0.0377387   0.000000
0.6958902   0.0370377   0.000000
0.7031279   0.0363341   0.000000
0.710315   0.0356282   00.000000
0.7174497   0.0349203   0.000000
0.7245302   0.034211   00.000000
0.7315547   0.0335005   0.000000
0.7385216   0.0327892   0.000000
0.7454289   0.0320775   0.000000
0.7522752   0.0313659   0.000000
0.7590585   0.0306545   0.000000
0.7657773   0.0299439   0.000000
0.7724298   0.0292344   0.000000
0.7790145   0.0285263   0.000000
0.7855296   0.02782   0
0.7919735   0.0271159   0.000000
0.7983447   0.0264143   0.000000
0.8046415   0.0257156   0.000000
0.8108625   0.0250202   0.000000
0.8170059   0.0243283   0.000000
0.8230703   0.0236404   0.000000
0.8290542   0.0229567   0.000000
0.8349562   0.0222777   0.000000
0.8407746   0.0216037   0.000000
0.8465081   0.0209351   0.000000
0.8521553   0.0202721   0.000000
0.8577147   0.0196151   0.000000
0.8631849   0.0189646   0.000000
0.8685645   0.0183208   0.000000
0.8738524   0.017684   00.000000
0.8790472   0.0170546   0.000000
0.8841473   0.016433   00.000000
0.8891519   0.0158194   0.000000
0.8940594   0.0152143   0.000000
0.8988686   0.014618   00.000000
0.9035785   0.0140307   0.000000
0.9081879   0.0134528   0.000000
0.9126954   0.0128847   0.000000
0.9171001   0.0123266   0.000000
0.9214009   0.0117789   0.000000
0.9255967   0.0112419   0.000000
0.9296864   0.010716   00.000000
0.933669   0.0102014   00.000000
0.9375435   0.0096984   0.000000
0.941309   0.0092073   00.000000
0.9449645   0.0087286   0.000000
0.948509   0.0082623   00.000000
0.9519419   0.0078089   0.000000
0.9552621   0.0073685   0.000000
0.9584688   0.0069416   0.000000
0.9615613   0.0065283   0.000000
0.9645387   0.006129   00.000000
0.9674004   0.0057438   0.000000
0.9701455   0.005373   00.000000
0.9727736   0.0050169   0.000000
0.9752837   0.0046758   0.000000
0.9776754   0.0043497   0.000000
0.9799482   0.004039   00.000000
0.9821012   0.0037439   0.000000
0.9841341   0.0034645   0.000000
0.9860464   0.0032011   0.000000
0.9878376   0.0029538   0.000000
0.9895071   0.0027228   0.000000
0.9910547   0.0025082   0.000000
0.9924798   0.0023103   0.000000
0.9937823   0.0021291   0.000000
0.9949617   0.0019647   0.000000
0.9960177   0.0018174   0.000000
0.9969501   0.0016871   0.000000
0.9977586   0.0015741   0.000000
0.9984431   0.0014782   0.000000
0.9990034   0.0013997   0.000000
0.9994394   0.0013386   0.000000
0.9997508   0.001295   00.000000
0.9999377   0.0012687   0.000000
1.001       0.00       00.000000
0           0           0.000000
0.0000623   -0.0014014  0.000000
0.0002492   -0.0027933  0.000000
0.0005607   -0.0041756  0.000000
0.0009966   -0.0055481  0.000000
0.0015569   -0.0069107  0.000000
0.0022414   -0.0082632  0.000000
0.0030499   -0.0096054  0.000000
0.0039823   -0.0109372  0.000000
0.0050383   -0.0122584  0.000000
0.0062177   -0.0135686  0.000000
0.0075202   -0.0148677  0.000000
0.0089453   -0.0161554  0.000000
0.0104929   -0.0174314  0.000000
0.0121624   -0.0186955  0.000000
